Title,Year,Age,IMDB,Rotten Tomatoes
Everything's Gonna Be Okay,2020,16+,7,94%
Roswell,1999,16+,7.5,
Casual,2015,16+,7.5,92%
Psycho-Pass,2012,16+,8.2,
Boruto: Naruto Next Generations,2017,16+,7.1,
Battlestar Galactica,1978,7+,7.2,33%
Chance,2016,16+,7.7,75%
Shameless,2004,18+,8,
Yu Yu Hakusho,1992,16+,8.4,100%
Jane Eyre,2006,7+,8.3,
Dexter's Laboratory,1996,all,7.9,
WWE Raw,1993,7+,7.8,
Pretty Little Liars: The Perfectionists,2019,16+,7.1,100%
Greek,2007,16+,7.5,75%
Flashpoint,2008,16+,7.7,
The Wrong Mans,2013,18+,7.8,95%
Legends,2014,16+,7.5,56%
Black Clover,2017,16+,8,
Shrill,2019,18+,7.4,87%
Underground,2016,18+,7.7,96%
The Path,2016,18+,7.3,77%
Lodge 49,2018,16+,7.5,93%
King of the Hill,1997,7+,7.3,
Deadliest Catch,2005,7+,7.8,
Angie Tribeca,2016,16+,7,96%
Prodigal Son,2019,16+,8.2,54%
Single Parents,2018,7+,7,75%
S.W.A.T.,2017,16+,7,
Doc Martin,2004,7+,8.3,
Trust,2018,18+,7.5,78%
The Fairly OddParents,2001,all,7.2,
The Glades,2010,16+,7.5,59%
Top Chef,2006,16+,7.5,
10 Things I Hate About You,2009,16+,7.3,88%
Teenage Mutant Ninja Turtles,2012,7+,7.8,
Das Boot,2018,,7.3,85%
Hey Arnold!,1996,all,7.6,
NOS4A2,2019,16+,6.7,68%
Baby Daddy,2012,16+,7.3,
Happy Days,1974,7+,7.4,
Murdoch Mysteries,2008,7+,8.1,
Brothers and Sisters,2006,16+,7.3,
Alone,2015,16+,8.4,
Twisted,2013,16+,7.3,73%
Making It,2018,7+,7.9,100%
Queen Sugar,2016,16+,7.7,97%
Miranda,2009,7+,8.1,
Mary Kills People,2017,18+,7.5,100%
Leah Remini: Scientology and the Aftermath,2016,16+,9.1,
America's Next Top Model,2003,7+,5.5,
I Am the Night,2019,7+,7,74%
Holey Moley,2019,7+,6.7,91%
Kamisama Kiss,2012,7+,8.1,
Rascal Does Not Dream of Bunny Girl Senpai,2018,16+,8,
The Legend of the Blue Sea,2016,,8.1,
"Sabrina, the Teenage Witch",1996,all,6.6,
The Split,2018,,7.6,73%
Airwolf,1984,7+,6.7,
Bleak House,2005,16+,8.3,
American Housewife,2016,7+,7.3,
Monster Musume: Everyday Life with Monster Girls,2017,18+,6.7,
Claws,2017,18+,7.3,90%
Metalocalypse,2006,18+,8.2,
Highschool of the Dead,2010,18+,7.2,
The Musketeers,2014,16+,7.8,
The Eric Andre Show,2012,18+,8.6,
Noragami,2014,16+,7.9,
My Teen Romantic Comedy SNAFU,2013,16+,7.8,
The First 48,2004,18+,8.2,
Sealab 2021,2000,16+,7.9,74%
Deutschland 86,2018,,7.6,100%
Rugrats,1991,all,7.4,
Atlantis,2013,7+,6.6,62%
Reprisal,2019,18+,7.5,44%
The Event,2010,16+,7,67%
Danny Phantom,2004,7+,7.1,
Life in Pieces,2015,7+,8,
X-Men: Evolution,2000,7+,7.9,
Cardinal,2017,16+,7.7,
Spiral,2005,7+,8.5,
Good Luck Charlie,2010,all,7,
Overlord,2015,18+,7.8,
Pawn Stars,2009,7+,7.2,
American Gothic,1995,7+,8.1,67%
LEGO Masters,2020,7+,7.2,67%
Anthony Bourdain: No Reservations,2005,7+,8.4,
Dawson's Creek,1998,16+,6.6,
Taxi,1978,7+,7.6,
Bless This Mess,2019,7+,6.7,82%
Forged in Fire,2015,7+,8.4,
Schooled,2019,7+,6.9,73%
Robin of Sherwood,1984,,8.5,
Assassination Classroom,2015,16+,8,
The Mick,2017,16+,7.8,
Yu-Gi-Oh! GX,2004,all,6.7,
The League of Gentlemen,1999,18+,8.4,
Black Lagoon,2006,18+,8,
Silent Witness,1996,16+,7.8,
DARLING in the FRANXX,2018,16+,7.3,
Diabolik Lovers,2013,16+,5.3,
Numb3rs,2006,7+,6.9,
The Masked Singer,2019,7+,6.3,
Naked and Afraid,2013,16+,6.6,
Friday Night Dinner,2011,18+,8.1,
Fire Force,2019,7+,7.7,
Station 19,2018,16+,6.5,
The Future Diary,2011,18+,7.6,
Saved by the Bell,1989,all,7,
Breakout Kings,2011,16+,7.3,41%
The Ultimate Fighter,2005,16+,7.8,
Ergo Proxy,2006,16+,8,
Saving Hope,2012,16+,7.5,
The Bold Type,2017,16+,8,
Pitch,2016,16+,7.4,94%
How the Universe Works,2010,7+,9,
Dragon Ball GT,1996,7+,6.8,
The Long Road Home,2017,18+,7.5,77%
Crayon Shin-chan,1992,7+,7.9,
Intervention,2005,16+,7.9,
The Outer Limits,1995,18+,7.7,
Outsourced,2010,16+,7.5,20%
60 Days In,2016,16+,7.7,
Into the Dark,2018,18+,6.3,74%
Clique,2017,7+,7,100%
The Son,2017,16+,7.5,52%
Songland,2019,7+,7.7,67%
Lincoln Rhyme: Hunt for the Bone Collector,2020,16+,6.9,30%
Saving Grace,2007,18+,7.6,73%
90 Day Fiancé,2014,16+,6.3,
"Beverly Hills, 90210",1990,7+,6.3,
Darker than Black,2007,16+,7.7,
MasterChef,2010,16+,7.3,
This Country,2017,16+,8.5,96%
Kitchen Nightmares,2007,16+,7.4,
90 Day Fiancé: Before the 90 Days,2017,16+,6.7,
Remington Steele,1982,7+,7.2,
Tyler Perry's If Loving You Is Wrong,2014,16+,5.8,
Highlander: The Series,1992,16+,7.2,
Lark Rise to Candleford,2008,7+,8.1,
Catfish: The TV Show,2012,16+,7.1,
Agatha Christie's Marple,2004,16+,7.7,
Monogatari,2009,16+,8,
Project Runway,2004,16+,7.3,
The First,2018,18+,6.7,68%
9-1-1: Lone Star,2020,16+,6.4,
Sense and Sensibility,2008,16+,8,
Homicide Hunter: Lt Joe Kenda,2011,16+,8.8,
Seraph of the End,2015,16+,7.5,
Gangland Undercover,2015,16+,8.2,
Party of Five,1994,7+,6.8,
Devious Maids,2013,7+,7.8,
Digimon Tamers,2001,7+,7.7,
Drunk History,2013,16+,7.8,
The Penguins of Madagascar,2009,7+,7.6,
The Purge,2018,18+,6.4,42%
Survivorman,2004,7+,8.2,
Higurashi When They Cry,2006,18+,8,
Melissa & Joey,2010,7+,7,
River Monsters,2009,7+,8.2,
General Hospital,1963,7+,6.5,
Scott & Bailey,2011,7+,7.9,
Dollface,2019,,7.4,50%
Upstairs Downstairs,2010,7+,7.4,
Difficult People,2015,18+,7,95%
Apple Tree Yard,2017,18+,7.1,92%
Man vs. Wild,2006,7+,8.1,
Good Trouble,2019,16+,7.4,
While You Were Sleeping,2017,,8.4,
Mr. Pickles,2014,18+,7.3,
Log Horizon,2013,16+,7.7,
DCI Banks,2011,18+,7.6,
Prisoners of War,2010,,8.4,100%
The Fades,2011,18+,7.8,
The Firm,2012,16+,7,39%
Fruits Basket,2019,7+,8.3,
Adam-12,1968,7+,7.5,
Kenichi The Mightiest Disciple,2006,16+,8.2,
The Joy of Painting,1983,all,9.4,
Gold Rush,2011,7+,7.3,
Lupin the Third,1971,16+,7.9,
McLeod's Daughters,2001,16+,7.2,
Hill Street Blues,1981,16+,8.1,
Brickleberry,2012,18+,7.4,
The Tonight Show Starring Jimmy Fallon,2014,16+,7.3,
Jeopardy!,1964,all,8.2,
Family Matters,1989,all,6.5,
Foster's Home for Imaginary Friends,2004,7+,7.6,
National Treasure,2016,16+,7.4,91%
Kojak,1973,16+,7.1,
Time After Time,2017,16+,6.7,67%
Star,2016,16+,6.6,
The Marvelous Misadventures of Flapjack,2008,7+,7.8,
Expedition Unknown,2015,7+,8.2,
I'm Dying Up Here,2017,18+,7.4,51%
Fixer Upper,2013,all,8.3,
The Familiar of Zero,2006,16+,7.1,
The Voice,2011,7+,6.5,
Wings,1990,7+,7.2,
The Cool Kids,2018,16+,7,65%
The Pink Panther Show,1964,all,7.6,
The Guardian,2001,7+,7.4,
The Conners,2018,7+,5.3,89%
Garfield and Friends,1988,7+,7.3,
New Tricks,2003,16+,7.8,
Wolfblood,2013,7+,7.7,
Fast N' Loud,2012,16+,7.5,
A.N.T. Farm,2011,all,5,
Shiki,2010,18+,7.7,
Real Humans,2012,16+,7.9,
What's Wrong with Secretary Kim,2018,all,8.1,
Land of Honor,2014,16+,7.9,
Banished,2015,18+,7.4,
Samantha Who?,2007,7+,7.3,77%
The Powerpuff Girls,1998,7+,7.2,
Being Erica,2009,16+,7.5,
False Flag,2015,,7.8,
Dark Shadows,1966,7+,7.5,
"Diners, Drive-Ins and Dives",2007,all,7.3,
Tyler Perry's The Haves and the Have Nots,2013,,6,
Shots Fired,2017,16+,6.4,84%
Four Weddings and a Funeral,2019,,7.1,43%
Second Chance,2016,16+,7.5,
K.C. Undercover,2015,all,6.1,
Doug,1991,all,7.4,
Detroit 1-8-7,2010,16+,7.6,83%
The Carmichael Show,2015,7+,7.6,86%
Spy,2011,7+,7.9,100%
24: Legacy,2017,16+,6.2,59%
Ranma ½,1989,16+,7.9,
Harrow,2018,,7.6,
Medium,2005,16+,6.9,
World of Dance,2017,7+,7,
Coronation Street,1960,7+,5.5,
How It's Made,2001,all,7.8,
Life Below Zero,2013,7+,8,
T@gged,2016,16+,7.3,
The Bob Newhart Show,1972,all,8.1,
The PJs,1999,16+,6.6,
Moone Boy,2012,16+,8.1,
Ghosted,2017,7+,6.2,59%
The Mary Tyler Moore Show,1970,7+,8.1,
Unsolved Mysteries,1987,7+,8.3,
The Practice,1997,16+,7.7,
Oh My Venus,2015,,7.8,
The Secret Life of the American Teenager,2008,16+,4.9,
Married at First Sight,2014,16+,6.3,
American Ninja Warrior,2009,7+,6.8,
House Hunters,1999,all,8.2,
Little Britain,2003,18+,7.6,
American Pickers,2010,7+,7,
Sailor Moon Crystal,2014,16+,7.9,
Chowder,2007,7+,7.3,
mixed-ish,2019,7+,6.2,80%
Thief,2006,18+,7.5,81%
Nightwatch,2015,16+,8.9,
Dirty Sexy Money,2007,16+,7.2,68%
Big Time Rush,2009,all,6.2,
Snow White with the Red Hair,2015,16+,7.8,
The Three Stooges,1934,all,8.6,
RuPaul's Drag Race: Untucked,2010,16+,7.9,
The Lord of the Skies,2013,16+,6.8,
Deputy,2020,16+,6.1,40%
Eli Stone,2008,7+,7.6,60%
Penn & Teller: Bullshit!,2003,18+,8.2,
Shark,2006,16+,7.1,52%
Mistresses,2013,16+,7.1,
Murder in the First,2014,18+,7.2,
Shut Eye,2016,18+,7.4,43%
Chopped,2009,all,7.5,
Teen Titans Go!,2013,7+,5.2,
Running Wild with Bear Grylls,2014,7+,7.7,
The Thundermans,2013,all,5.7,
Horrible Histories,2009,7+,8.8,
Space Dandy,2014,16+,8.1,83%
Fosse/Verdon,2019,18+,7.9,81%
The Story of Film: An Odyssey,2011,,8.5,
The Adventures of Jimmy Neutron: Boy Genius,2002,all,6.7,
Kimi ni Todoke: From Me to You,2009,7+,7.8,
Diff'rent Strokes,1978,all,6.6,
Blue Spring Ride,2014,,7.4,
Full Metal Panic!,2002,16+,7.6,
Dance Moms,2011,7+,4.6,
GameFace,2017,,7.7,83%
The Rifleman,1958,7+,8.3,
Light as a Feather,2018,16+,6.6,44%
The Greatest American Hero,1981,7+,7.3,
Speechless,2016,7+,7.6,
St. Elsewhere,1982,7+,7.8,
Travel Man: 48 Hours in...,2015,7+,8.3,
The Incredible Dr. Pol,2011,7+,8.6,
Street Outlaws,2013,7+,6.7,
Stan Against Evil,2016,18+,7.3,
The Dead Files,2011,7+,6.8,
Bluestone 42,2013,16+,8,
Persona 4 The Animation,2011,7+,7.6,
American Idol,2002,7+,4.1,68%
Look Around You,2002,7+,8.4,
D.Gray-man,2006,16+,7.7,
Braquo,2009,7+,8,
Jeremiah,2002,18+,7,
Spice and Wolf,2008,16+,8,
X Company,2015,16+,7.7,
Almost Family,2019,16+,6.3,24%
Bakuman,2010,16+,8,
Fruits Basket,2001,7+,7.9,
Dharma & Greg,1997,16+,6.3,
Blood Blockade Battlefront,2015,18+,7.2,
Man v. Food,2008,all,7.3,
Storage Wars,2010,7+,6.4,
World Trigger,2014,16+,7.5,
Reba,2001,7+,6.5,
Haven't You Heard? I'm Sakamoto,2016,16+,7.2,
SHIMONETA: A Boring World Where the Concept of Dirty Jokes Doesn't Exist,2015,18+,7.1,
Beyond Scared Straight,2011,18+,7.3,
The Fall Guy,1981,7+,7.1,
Toriko,2011,7+,7.3,
Pasión Prohibida,2013,,8.4,
How Not to Summon a Demon Lord,2018,18+,7,
Gordon Ramsay's 24 Hours to Hell and Back,2018,16+,7.3,
Lip Service,2010,18+,7.4,
Find Me in Paris,2018,all,7.3,
Rev.,2010,16+,7.9,
Rosario + Vampire,2008,18+,7,
The Riches,2007,18+,7.8,
The Beverly Hillbillies,1962,all,7.1,
